Nº de inscripción;Fecha inspección;Nombre;Provincia;Municipio;CP;Dirección;Correo electrónico;Sitio web;Teléfono;Nº de habitaciones con 8 o más plazas;Nº de habitaciones con menos de 8 plazas;Nº de plazas en habitaciones con 8 o más plazas;Nº de plazas en habitaciones con menos de 8 plazas;Nº de plazas en habitaciones según la normativa anterior;Periodo
CV-ALT000033-V;14/10/13;ALBERGUE TURISTICO MUNICIPAL DE CALLES;VALENCIA/VALÈNCIA;CALLES;46175;CR de Calles a Villar Olmos S/N;calles_tur@gva.es;https://www.calles.es;628 73 27 88;2;0;32;0;0;[Anual]
CV-ALT000038-V;15/11/17;FUENTE BELLIDO;VALENCIA/VALÈNCIA;CASAS ALTAS;46147;C FRANCISCO CANDEL TORTAJADA 4;pregunta@casaruralgarrido.com;http://www.casaruralgarrido.com;;2;3;18;6;0;[Anual]
CV-ALT000011-V;19/11/01;LOS CENTENARES;VALENCIA/VALÈNCIA;CASTIELFABIB;46141; Los Centenares S7N;loscentenares@gmail.com;http://www.loscentenares.com;978783504;0;0;0;0;70;No especificado
CV-ALT000057-V;05/06/23;INFANTE;VALENCIA/VALÈNCIA;GANDIA;46730;PA MARITIMO NEPTUNO (LOCAL 7) 65;alojamientosgandia@gmail.com;;619031745;1;0;16;0;;[Anual]
CV-ALT000009-V;12/11/01;LA BESANA;VALENCIA/VALÈNCIA;VENTA DEL MORO;46310;C SAN JUAN 9;info@ruting.es;http://www.ruting.es;962185039;0;0;0;0;38;No especificado
CV-ALT000028-V;13/07/11;POBLADO DE BASTA;VALENCIA/VALÈNCIA;COFRENTES;46625;PD POBLADO DE BASTA S/N;etomas_cofrentes@balneario.com;http://www.balneario.com;961894025;4;3;48;14;0;[Semana Santa]
CV-ALT000004-V;12/05/98;EMBALSE BENAGEBER;VALENCIA/VALÈNCIA;BENAGÉBER;46312;CM PANTANO, Plaza del Cerrillar s/n;reservas@alberguebenageber.com;http://www.alberguebenageber.com;962 171 015;0;0;0;0;258;No especificado
CV-ALT000052-V;30/12/21;ALBERGUE MUNICIPAL FUENTE DE LA GITANA;VALENCIA/VALÈNCIA;CHELVA;46176;PO 26 OT 827 S/N;turismo@chelva.es;http://www.turismochelva.es;962100011;4;1;48;2;;[Anual]
CV-ALT000001-V;26/06/96;EL ALTICO;VALENCIA/VALÈNCIA;CHULILLA;46167;PO III-PARCELA 317 ;info@elaltico.com;;961657010;0;0;0;0;24;No especificado
CV-ALT000023-V;27/05/08;ALBERGUE RURAL MUNICIPAL PEÑA MARIA DE GESTALGAR;VALENCIA/VALÈNCIA;GESTALGAR;46166;AV DIPUTACION 25;;;961649228;7;4;80;8;0;[Anual]
CV-ALT000037-V;04/12/15;LES RODANES;VALENCIA/VALÈNCIA;VILAMARXANT;46191;PD DE LA BALSA BARRETA, PARCELA 711, POLIGONO 35 S/N;info@lesrodanes.es;http://www.lesrodanes.es;960032261;1;0;26;0;0;[Anual]
CV-ALT000067-V;16/07/25;PARQUE DE LA NATURALEZA EL PLA DE ESTIVELLA;VALENCIA/VALÈNCIA;ESTIVELLA;46590;CAMINO DEL PLA S/N;JANNONE1969@GMAIL.COM;PARQUEELPLA.COM;636717677;7;0;56;0;;[Anual]
