Nº de inscripción;Categoría;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Correo eléctrónico;Teléfono;Nº parcelas;Plazas parcela;Nº bungalows;Plazas bungalow;Sup. libre acampada;Plazas libre acampada;Plazas totales;Fecha alta;Periodo
CV-CAM000069-V;UNA ESTRELLA;KIKO PARK 3;VALENCIA/VALÈNCIA;OLIVA;46780;AVDA . LLAURADORS, 20-26;WWW.KIKOPARK.COM;administracion@kikopark.com;962850905;14;42;0;0;0;0;42;25/09/2024;[Anual]
CV-CAM000060-V;UNA ESTRELLA;CAMPER PARK KM ZERO;VALENCIA/VALÈNCIA;ALQUERIA DE LA COMTESSA, L';46715;C Metge Panella 1;http://www.kmzerocamperpark.com;kmzerocamperpark@gmail.com;962898239;28;84;0;0;0;0;84;26/03/2015;No especificado
CV-CAM000068-V;UNA ESTRELLA;KIKOPARK II;VALENCIA/VALÈNCIA;OLIVA;46780;C/ ASSAGADOR DE CARRO, 2;www.kikopark.com;ADMINISTRACION@KIKOPARK.COM;654023374;10;30;0;0;0;0;30;27/05/2024;[Anual]
CV-CAM000070-V;UNA ESTRELLA;KIKOPARK 4;VALENCIA/VALÈNCIA;OLIVA;46780;C/ FIGUERA 16;www.kikopark.com;administracion@kikopark.com;962850905;2;6;0;0;0;0;6;30/09/2024;[Anual]
CV-CAM000055-V;UNA ESTRELLA;SIERRA NATURA;VALENCIA/VALÈNCIA;ENGUERA;46810; FINCA EL TEJARICO S/N;;;962253026;64;153;13;27;2368;54;234;25/07/2007;[Anual]
CV-CAM000064-V;UNA ESTRELLA;RESIDENCIA VACACIONAL XATIVA;VALENCIA/VALÈNCIA;XÀTIVA;46800;CM SANT ANTONI. POL 13-PARC 20-21 ABC S/N;residenciavacacionalxativa.es;info@residenciavacacionalxativa.es;658428302;42;99;9;36;0;0;135;18/02/2022;[Anual]
CV-CAM000061-V;UNA ESTRELLA;FONT DE SIS;VALENCIA/VALÈNCIA;PALOMAR, EL;46891;AV Riuet (Paraje Natural Font de Sis) S/N;fontdesis.es;info@fontdesis.es;677579034;54;162;0;0;0;0;162;15/05/2015;[Anual]
CV-CAM000066-V;DOS ESTRELLAS;PLAYAMONTE;VALENCIA/VALÈNCIA;NAVARRÉS;46823;UR PLAYAMONTE 2. POL 11. PARC 162-161-157 162;http://www.campingplayamonte.com;campingplayamonte@gmail.com;667797931;34;102;0;0;0;0;102;08/07/2022;[Anual]
CV-CAM000063-V;DOS ESTRELLAS;NOMADIC VALENCIA CAMPING CAR;VALENCIA/VALÈNCIA;ALBALAT DELS SORELLS;46135;C Puig de Santa María 14;https://www.comunitatvalenciana.com/;info@campingnomadic.com;684 477 729;33;99;0;0;0;0;99;02/11/2020;[Anual]
CV-CAM000054-V;DOS ESTRELLAS;SLOW LIFE CAMPING VENTA DEL MORO;VALENCIA/VALÈNCIA;VENTA DEL MORO;46310;C Paso del Rey 2;https://campingventadelmoro.com;info@slowlifecamping.com;680 628 636;25;42;11;44;0;0;86;25/07/2007;[Anual]
CV-CAM000045-V;DOS ESTRELLAS;RIO TURIA;VALENCIA/VALÈNCIA;BUGARRA;46165; CAMINO DEL CEMENTERIO -PDA LA PALMERETA- 25;;cturia_1@hotmail.com;961660242;38;114;0;0;0;0;114;06/07/1995;[Anual]
CV-CAM000062-V;DOS ESTRELLAS;XERACO CAMPERS;VALENCIA/VALÈNCIA;XERACO;46730;PO 5. PARCELA 175, 176 Y 7004 S/N;http://www.xeracocampers.com;xeracocampers@gmail.com;962 129 203;93;279;0;0;0;0;279;22/07/2020;[Anual]
CV-CAM000033-V;TRES ESTRELLAS;LA NARANJA;VALENCIA/VALÈNCIA;GANDIA;46730;PY Gandia-Cmno. Assagador de Morant S/N;http://campinglanaranja.com;info@campinglanaranja.com;962841616;62;165;7;31;1669;58;254;01/06/1983;No especificado
CV-CAM000067-V;TRES ESTRELLAS;LA ESCALADA;VALENCIA/VALÈNCIA;GANDIA;46728;CAMI MERAVELLES COVA NEGRA, 127;www.campinglaescaladagandia.com;info@campinglaescalada.com;619101616;143;357;24;100;0;0;457;28/04/2023;[Anual]
CV-CAM000027-V;TRES ESTRELLAS;L'ALQUERIA;VALENCIA/VALÈNCIA;GANDIA;46730;AV del Grau 142;https://www.lalqueria.com;lalqueria@lalqueria.com;+34 96 284 04 70;271;408;135;469;6007;292;1169;22/05/1980;[Anual]
CV-CAM000039-V;TRES ESTRELLAS;MALVARROSA DE CORINTO;VALENCIA/VALÈNCIA;SAGUNT/SAGUNTO;46500;CM Malvarrosa - Carrer del Cigne S/N;http://www.malvacorinto.com;camalva@live.com;962 608 906;154;186;92;276;1757;53;515;16/10/1989;[Anual]
