Nº de inscripción;Categoría;Nombre;Especialidad: ;Régimen: ;Provincia;Municipio;CP;Dirección;Correo electrónico;Sitio web;Teléfono;Nº plazas totales;Fecha alta;Periodo
CV-ARU000504-V;UNA ESTRELLA;CASA RURAL 'LA GUAPETA';CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;ADEMUZ;46140;C Boticario 259;lozanolozanocarlos@gmail.com;https://casa-la-guapeta.business.site;686 46 44 78;4;06/10/2017;[Anual]
CV-ARU000578-V;UNA ESTRELLA;CASA DEL CABALLO;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;CASAS ALTAS;46147;C BARRACA 31;rtortajada@sun1.es;http://casadelcaballo.com;619858093;4;10/11/2021;[Anual]
CV-ARU000625-V;UNA ESTRELLA;LA CASA DEL HIJO DEL ZAHORI;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;VENTA DEL MORO;46310;CALLE MANZANA 12;zapakalahari@hotmail.com;www. elhijodelzahori.com;689599506;5;01/02/2024;[Anual]
CV-ARU000622-V;UNA ESTRELLA;EL GARAJE;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;ALCUBLAS;46172;CALLE VÍCTOR ALBALAT 38;encarnaalcaide@telefonica.net;www.atmospheras.com;609771972;6;30/10/2023;[Anual]
CV-ARU000577-V;UNA ESTRELLA;VILLA TAMARIT;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;PEDRALBA;46164;C LLIRIA 54 A;info@alohaturia.es;http://www.alohaturia.net/es/villa-tamarit;628697984;12;05/11/2021;[Anual]
CV-ARU000492-V;UNA ESTRELLA;LA CASA DEL FORN;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;OLOCAU;46169;C AVE MARIA 3;;http://WWW.LACASADELFORN.ES;686708741;10;16/02/2017;[Anual]
CV-ARU000310-V;UNA ESTRELLA;LA CASICA DEL SOL;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;REQUENA;46390;C Toledo 19;jangelns@hotmail.com;https://www.casasrurales.net/casas-rurales/la-casica-del-sol--c5856;696 84 69 94;12;28/02/2007;[Anual]
CV-ARU000612-V;UNA ESTRELLA; ROA;CASA DE PUEBLO;COMPARTIDA;VALENCIA/VALÈNCIA;CASINOS;46171;CL SAN MIGUEL Nº 63 ;DANIMURGUIM2672000@GMAIL.COM;;636047081;9;26/07/2023;[Anual]
CV-ARU000516-V;UNA ESTRELLA;CASA GAZANIA;CASA DE PUEBLO;COMPARTIDA;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;C SAN MIGUEL 23;;;962808398;6;30/05/2018;[Anual]
CV-ARU000639-V;UNA ESTRELLA;LAS ANAS RURAL;CASA DE PUEBLO;COMPARTIDA;VALENCIA/VALÈNCIA;CORTES DE PALLÁS;46199;ARRIBA 7;lasanasrural@outlook.com;;606750800;11;01/12/2024;[Anual]
