"Signatura";"Cod. Estado";"Estado";"Cod. Categoria";"Categoría";"Nombre";"Cod. Provincia";"Provincia";"Cod. Municipio";"Municipio";"Comarca";"CP";"Dirección";"Cod. Tipo Via";"Tipo Via";"Via";"Número";"Email";"Web";"Cod. Grupo";"Grupo";"Cod. Modalidad";"Modalidad";"Habitaciones";"Plazas";"Cod. Cadena";"Cadena";"Fecha Alta";"Fecha Baja";"Periodo";"Días periodo";
"CV H00830 V";"A";"ALTA";"2";"2 ESTRELLAS";"CASA DOMINGO";"46";"VALÈNCIA";"001";"ADEMUZ";"EL RINCON DE ADEMUZ";"46140";"AVENIDA VALENCIA, 1";"AV";"AVENIDA";"VALENCIA";"1";"info@hostalcasadomingo.com";"http://www.hostalcasadomingo.com";"HS";"HOSTAL";"HS";"HOSTAL";"30";"56";"NCD";"NO PERTENECE A NINGUNA CADENA";"23/07/1975"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01022 V";"A";"ALTA";"0";"PENSIÓN";"EL MOLINO";"46";"VALÈNCIA";"001";"ADEMUZ";"EL RINCON DE ADEMUZ";"46140";"AVENIDA VALENCIA, 58";"AV";"AVENIDA";"VALENCIA";"58"; ; ;"P";"PENSIÓN";"P";"PENSIÓN";"12";"23";"NCD";"NO PERTENECE A NINGUNA CADENA";"20/02/1987"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01321 V";"A";"ALTA";"0";"PENSIÓN";"MOLI FARINER";"46";"VALÈNCIA";"004";"AGULLENT";"LA VALL D'ALBAIDA";"46890";"CALLE DEL MOLI, 6";"C";"CALLE";"DEL MOLI";"6";"molifariner@hotmail.com"; ;"P";"PENSIÓN";"P";"PENSIÓN";"5";"10";"NCD";"NO PERTENECE A NINGUNA CADENA";"28/03/2011"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01156 V";"A";"ALTA";"3";"3 ESTRELLAS";"ALAQUAS";"46";"VALÈNCIA";"005";"ALAQUÀS";"L'HORTA OEST";"46970";"AVENIDA PABLO IGLESIAS, 32";"AV";"AVENIDA";"PABLO IGLESIAS";"32";"alaquas@husa.es";"http://www.husa.es";"H";"HOTEL";"H";"HOTEL";"65";"128";"HUS";"GRUPO HUSA";"15/11/2001"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01268 V";"A";"ALTA";"3";"3 ESTRELLAS";"PLAZA";"46";"VALÈNCIA";"005";"ALAQUÀS";"L'HORTA OEST";"46970";"CALLE HERMANAS MIRABAL, 1";"C";"CALLE";"HERMANAS MIRABAL";"1"; ; ;"H";"HOTEL";"H";"HOTEL";"28";"49";"NCD";"NO PERTENECE A NINGUNA CADENA";"30/06/2008"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H00639 V";"A";"ALTA";"0";"PENSIÓN";"TARIFA";"46";"VALÈNCIA";"006";"ALBAIDA";"LA VALL D'ALBAIDA";"46860";"CARRETERA DE ALCOY, 12";"CR";"CARRETERA";"DE ALCOY";"12"; ; ;"P";"PENSIÓN";"P";"PENSIÓN";"10";"21";"NCD";"NO PERTENECE A NINGUNA CADENA";"08/11/1969"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H00921 V";"A";"ALTA";"2";"2 ESTRELLAS";"BALCON DEL JUCAR";"46";"VALÈNCIA";"011";"ALBERIC";"LA RIBERA ALTA";"46260";"CARRETERA AUTOVIA DEL LEVANTE, KM857";"CR";"CARRETERA";"AUTOVIA DEL LEVANTE";"KM857";"antoniojavier167@hotmail.com"; ;"H";"HOTEL";"H";"HOTEL";"18";"31";"NCD";"NO PERTENECE A NINGUNA CADENA";"26/12/1977"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01269 V";"A";"ALTA";"1";"1 ESTRELLA";"EL RACO DE LA PINTORA";"46";"VALÈNCIA";"011";"ALBERIC";"LA RIBERA ALTA";"46260";"URBANIZACIÓN MONTE JUCAR PARCELA 20, 9";"UR";"URBANIZACIÓN";"MONTE JUCAR PARCELA 20";"9";"infor@elracodelapintora.es";"http://www.elracodelapintora.com";"H";"HOTEL";"H";"HOTEL";"7";"12";"NCD";"NO PERTENECE A NINGUNA CADENA";"16/07/2008"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01443 V";"A";"ALTA"; ; ;"BANANA BEACH PATACONA";"46";"VALÈNCIA";"013";"ALBORAIA/ALBORAYA";"L'HORTA NORD";"46120";"AVENIDA MARE NOSTRUM, 2";"AV";"AVENIDA";"MARE NOSTRUM";"2";"patacona@bananabeach-patacona.com";"https://bananabeach-patacona.com";"P";"PENSIÓN"; ; ;"3";"6";"NCD";"NO PERTENECE A NINGUNA CADENA";"23/06/2020"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01159 V";"A";"ALTA";"4";"4 ESTRELLAS";"OLYMPIA HOTEL, EVENTS & SPA";"46";"VALÈNCIA";"013";"ALBORAIA/ALBORAYA";"L'HORTA NORD";"46120";"CALLE MAESTRO SERRANO, 3";"C";"CALLE";"MAESTRO SERRANO";"3";"info@olympiagrupo.com";"https://www.olympiahotelvalencia.com";"H";"HOTEL";"H";"HOTEL";"167";"331";"OLY";"OLYMPIA GRUPO";"06/03/2002"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
