Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057513-V;Canet al Mar 6-N;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;AV BLASCO IBAÑEZ, 14, Es:1 Pl:06 Pt:614;https://www.globalvacacional.com/;24/02/2025;9568920YJ3986S2130EY;;N;86,00;5;N;2;4;1;1;3
CV-VUT0050978-V;Vivienda 50978-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;AV BLASCO IBAÑEZ, 18, Es:1 Pl:05 Pt:30;;07/05/2022;9568903YJ3996N0211DL;;N;81,00;2;N;1;2;0;0;1
CV-VUT0050315-V;Vivienda 50315-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;CL GUILLEM DE CASTRO, 1, Bloque:3 Es:2 Pl:03 Pt:341;;29/07/2021;9362901YJ3986S0563RM;;N;78,00;4;N;2;4;0;0;2
CV-VUT0050316-V;Vivienda 50316-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;AV BLASCO IBAÑEZ, 18, Es:1 Pl:05 Pt:28;;29/07/2021;9568903YJ3996N0209FB;;N;111,00;6;N;3;6;0;0;3
CV-VUT0050317-V;Vivienda 50317-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;CL JOSE SEGRELLES, 24, Es:1 Pl:00 Pt:15;;29/07/2021;9758216YJ3995N0015XM;;N;67,00;2;N;1;2;0;0;1
CV-VUT0050319-V;Vivienda 50319-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;CL ARNAU DE VILANOVA, 1, Es:1 Pl:01 Pt:28;;29/07/2021;9455303YJ3986S0028QI;;N;123,00;4;N;2;4;0;0;2
CV-VUT0050320-V;Vivienda 50320-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;AV BLASCO IBAÑEZ, 18, Es:1 Pl:11 Pt:66;;29/07/2021;9568903YJ3996N0247JM;;N;84,00;4;N;2;4;0;0;2
CV-VUT0050321-V;Vivienda 50321-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;CL ENTRE NARANJOS, 2, Es:A Pl:02 Pt:24;;29/07/2021;9865710YJ3996N0024YM;;N;94,00;4;N;2;4;0;0;2
CV-VUT0050323-V;Vivienda 50323-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;CL CAÑAS Y BARRO, 50, Es:1 Pl:06 Pt:34;;29/07/2021;9568919YJ3996N0034EU;;N;140,00;4;N;1;2;2;2;3
CV-VUT0050324-V;Vivienda 50324-V;VALENCIA/VALÈNCIA;CANET D'EN BERENGUER;46529;CL CAÑAS Y BARRO, 11, Es:A Pl:02 Pt:34;;29/07/2021;9368403YJ3996N0054AZ;;N;113,00;4;N;2;4;0;0;2
