Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0058770-V;;VALENCIA/VALÈNCIA;OLOCAU;46169;AV REINO DE VALENCIA, 10, Es:1 Pl:00 Pt:01;;14/07/2025;2727301YJ1922N0001TQ;;N;371,00;1;N;0;0;1;1;1
CV-VUT0056966-V;Vivienda 56966-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL RIO MIÑO, 12, Es:S Pl:UE Pt:LO;;30/12/2024;2917306YJ1921N0001XU;;N;;10;N;5;10;0;0;5
CV-VUT0035936-V;Vivienda 35936-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL PINTOR JOSE CAPUZ, 5, Es:1 Pl:00 Pt:01;;09/03/2016;2080206YJ1928A0001QO;;N;319,00;8;N;4;8;0;0;4
CV-VUT0044005-V;Vivienda 44005-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL XATIVA, 27, Es:T Pl:OD Pt:OS;;10/05/2018;2621662YJ1921N0001FU;;N;236,00;6;N;3;6;0;0;3
CV-VUT0042436-V;Vivienda 42436-V;VALENCIA/VALÈNCIA;OLOCAU;46169;PL POLIGONO  3, 376, Es:1 Pl:00 Pt:01;;01/09/2017;001701700YJ19G0001DI;;N;298,00;8;N;4;8;0;0;4
CV-VUT0048953-V;Vivienda 48953-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL LOS PINOS, 37, Es:T Pl:OD Pt:OS;;24/01/2020;3225838YJ1932S0001ZD;;N;176,00;6;N;3;6;0;0;3
CV-VUT0048540-V;Vivienda 48540-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL SANTA ANA, 12, Es:1 Pl:00 Pt:01;;03/10/2019;2622818YJ1922S0001LO;;N;276,00;10;N;5;10;0;0;5
CV-VUT0052297-V;Vivienda 52297-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL M SERRANO LLOMA, 6, Es:T Pl:OD Pt:OS;;03/04/2023;1743007YJ1914S0001GH;;N;464,00;12;N;6;12;0;0;6
CV-VUT0051988-V;Vivienda 51988-V;VALENCIA/VALÈNCIA;OLOCAU;46169;CL L VIVES LLOMA, 5, Es:T Pl:OD Pt:OS;;10/02/2023;1746007YJ1914N0001UI;;N;321,00;8;N;4;8;0;0;4
CV-VUT0058389-V;;VALENCIA/VALÈNCIA;OLOCAU;46169;CL VIRGEN DE GUADALUPE, 12, Es:T Pl:OD Pt:OS;;22/05/2025;2621624YJ1922S0001PO;;N;602,00;12;N;6;12;0;0;6
