Municipios;Tipo de vivienda;Total
TOTAL NACIONAL;2 Total viviendas familiares;25.208.623
TOTAL NACIONAL;2.1 Total viviendas principales;18.083.692
44001  Ababuj;2 Total viviendas familiares;105
44001  Ababuj;2.1 Total viviendas principales;30
40001  Abades;2 Total viviendas familiares;543
40001  Abades;2.1 Total viviendas principales;320
10001  Abadía;2 Total viviendas familiares;216
10001  Abadía;2.1 Total viviendas principales;123
27001  Abadín;2 Total viviendas familiares;1.655
27001  Abadín;2.1 Total viviendas principales;984
48001  Abadiño;2 Total viviendas familiares;2.978
48001  Abadiño;2.1 Total viviendas principales;2.695
31001  Abáigar;2 Total viviendas familiares;72
31001  Abáigar;2.1 Total viviendas principales;46
09001  Abajas;2 Total viviendas familiares;82
09001  Abajas;2.1 Total viviendas principales;16
26001  Ábalos;2 Total viviendas familiares;216
26001  Ábalos;2.1 Total viviendas principales;151
20001  Abaltzisketa;2 Total viviendas familiares;148
20001  Abaltzisketa;2.1 Total viviendas principales;115
19001  Abánades;2 Total viviendas familiares;138
19001  Abánades;2.1 Total viviendas principales;48
30001  Abanilla;2 Total viviendas familiares;4.338
30001  Abanilla;2.1 Total viviendas principales;2.519
50001  Abanto;2 Total viviendas familiares;160
50001  Abanto;2.1 Total viviendas principales;58
48002  Abanto y Ciérvana-Abanto Zierbena;2 Total viviendas familiares;4.438
48002  Abanto y Ciérvana-Abanto Zierbena;2.1 Total viviendas principales;3.932
30002  Abarán;2 Total viviendas familiares;6.618
30002  Abarán;2.1 Total viviendas principales;4.654
34001  Abarca de Campos;2 Total viviendas familiares;33
34001  Abarca de Campos;2.1 Total viviendas principales;18
31002  Abárzuza/Abartzuza;2 Total viviendas familiares;279
31002  Abárzuza/Abartzuza;2.1 Total viviendas principales;208
31003  Abaurregaina/Abaurrea Alta;2 Total viviendas familiares;76
31003  Abaurregaina/Abaurrea Alta;2.1 Total viviendas principales;62
31004  Abaurrepea/Abaurrea Baja;2 Total viviendas familiares;19
